Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2022-12-22,2828366,489796,1212687,1230630,406568.0,1029402,1636661.0,667624,871760,117758,249580,16292808
2022-12-23,1745575,282646,493700,1630008,152999.0,234849,1377902.0,855102,439305,419422,207871,9091070
2022-12-28,1616651,163561,373507,1081186,0.0,132320,679901.0,800707,717713,70916,100161,9109289
2022-12-29,834343,114420,725531,935634,0.0,637388,284370.0,614901,700287,62065,160780,14383064
2022-12-30,1396517,274815,1919376,1290072,0.0,340292,53000.0,525740,512248,113283,253564,12388056
2023-01-03,1454985,379096,686789,1121958,0.0,560686,106241.0,702286,882735,172163,213544,10515163
2023-01-04,3462276,458702,1134746,1416793,50000.0,1134361,480000.0,1533060,704369,329748,318812,12362739
2023-01-05,2273438,272035,621951,1951009,0.0,614318,651074.0,1575671,884117,176931,376919,13388326
2023-01-06,2516100,223945,339278,1942514,399.0,608759,1503772.0,2534875,1176379,100975,262694,18456584
2023-01-09,1504801,270921,647573,2110781,153089.0,569114,854661.0,1448121,933677,238596,402731,20074007
2023-01-10,1497645,363435,550862,1564233,0.0,393663,8082129.0,610069,920278,280686,556732,15716687
2023-01-11,864978,317437,504692,1289154,7223334.0,472331,798099.0,708791,506404,120987,288309,16870817
2023-01-12,1188095,415764,649324,1402738,353812.0,439465,0.0,1281686,808503,325118,1544778,15574405
2023-01-13,774305,682482,480754,1203142,63750.0,279838,1257939.0,1353325,711441,529798,273036,20241643
2023-01-16,966708,638750,829156,1232609,67254.0,795640,1815397.0,1081923,491795,917027,431138,15591090
2023-01-17,777624,2052351,489951,2774864,0.0,824894,1046088.0,521157,628337,431341,238611,19491001
2023-01-18,1219290,3501301,1169853,1372822,0.0,524832,388996.0,884809,855701,560755,177099,19967385
2023-01-19,1397672,1482210,353113,1170248,20000.0,428275,81456.0,906303,742450,2569580,368214,18125535
2023-01-20,2504225,1705535,447862,1394320,621588.0,225028,0.0,972061,1228595,1798902,511251,25270418
2023-01-23,1180336,1347584,476450,1630893,84434.0,849554,0.0,475821,906279,1234153,532729,19139841
2023-01-24,1572365,1689127,754921,1889141,0.0,212251,2690297.0,873810,1320360,628641,715250,19713251
2023-01-25,1157608,1336960,506001,1502727,450775.0,920160,538878.0,783263,1514758,714026,1474120,16506843
2023-01-27,1603520,1999867,519579,3648943,0.0,738215,37220.0,911480,1274192,627864,481395,25854453
2023-01-30,3982709,1281199,888806,1453071,0.0,591168,775392.0,977920,618639,467292,983412,13413638
2023-01-31,1895820,987118,939667,2271289,0.0,855396,642522.0,1958356,871721,272229,772318,23492653
2023-02-01,1708930,1856318,959066,1416804,95112.0,585586,678389.0,860739,743393,555033,629549,13912353
2023-02-02,1690729,2650260,1061473,1946420,1048158.0,462390,3305593.0,1144181,547666,263864,691557,20550756
2023-02-03,1268835,1254838,1242509,1007526,0.0,709229,1845456.0,1838637,793553,356799,657913,18966172
2023-02-06,1546282,644333,732048,1060117,11041.0,384461,2389701.0,1912531,422126,369268,516979,7988953
2023-02-07,2268087,1266218,301344,11851112,0.0,248838,789.0,1485696,615305,6307612,274528,14449945
2023-02-08,1340714,3322228,907842,1700954,0.0,964808,125383.0,1156387,571689,5746996,648286,17160560
2023-02-09,12238132,1778150,798876,1829275,66666.0,386245,1455.0,1404565,475993,4317961,541933,13261399
2023-02-10,7391254,1897312,455107,1251991,0.0,623544,1731570.0,1371662,475769,2102068,385506,13638584
2023-02-13,6180455,1650034,558528,1483502,3734729.0,482241,0.0,1517877,497092,6063636,339877,20136910
2023-02-14,4900737,1171656,516777,1714177,258985.0,1083626,43567.0,857192,806419,2687950,549043,13282276
2023-02-15,3714091,466028,561704,1279570,0.0,870845,109925.0,2380686,679110,854600,423661,13954404
2023-02-16,3648180,996596,899048,1408154,0.0,1050364,1036715.0,3731559,727812,1086636,425258,17794357
